outer_fold,stage,tree_number_being_trained,n_trees_in_prediction,alpha,beta,margin,margin_buffer,loss_mode,n_samples,n_measured,n_classification_only,n_wrong_side,wrong_side_fraction,zero_hessian_count_all,zero_hessian_fraction_all,zero_hessian_count_measured,zero_hessian_count_classification_only,zero_hessian_fraction_classification_only,classification_only_correct_count,classification_only_wrong_count,unexpected_zero_hessian_count,expected_zero_but_positive_hessian_count,zero_gradient_and_hessian_count,zero_gradient_and_hessian_fraction,sum_hessian,min_hessian,min_positive_hessian,median_positive_hessian,max_hessian,negative_hessian_count,nonfinite_gradient_count,nonfinite_hessian_count
3,before_tree,750.0,749,1.0,2.5,-1.0,0.25,original,2525,612,1913,838,0.3318811881188119,1151,0.45584158415841586,0,1151,0.6016727652901203,1151,762,0,0,1151,0.45584158415841586,616.9552676167315,0.0,0.0028473804100227792,0.006501950585175552,1.0065019505851756,0,0,0
3,before_tree,1000.0,999,1.0,2.5,-1.0,0.25,original,2525,612,1913,842,0.3334653465346535,1147,0.4542574257425743,0,1147,0.5995818086774699,1147,766,0,0,1147,0.4542574257425743,616.9264568664448,0.0,0.0028473804100227792,0.006501950585175552,1.0065019505851756,0,0,0
3,after_final_tree,,1000,1.0,2.5,-1.0,0.25,original,2525,612,1913,843,0.3338613861386139,1146,0.4538613861386139,0,1146,0.5990590695243073,1146,767,0,0,1146,0.4538613861386139,616.9293042468548,0.0,0.0028473804100227792,0.006501950585175552,1.0065019505851756,0,0,0
4,before_tree,1.0,0,1.0,2.5,-1.0,0.22999999999999998,original,2525,612,1913,769,0.30455445544554455,1214,0.4807920792079208,0,1214,0.6346053319393623,1214,699,0,0,1214,0.4807920792079208,616.9999999999999,0.0,0.006501950585175552,0.006501950585175552,1.0065019505851756,0,0,0
4,before_tree,10.0,9,1.0,2.5,-1.0,0.22999999999999998,original,2525,612,1913,769,0.30455445544554455,1214,0.4807920792079208,0,1214,0.6346053319393623,1214,699,0,0,1214,0.4807920792079208,616.9999999999999,0.0,0.006501950585175552,0.006501950585175552,1.0065019505851756,0,0,0
4,before_tree,25.0,24,1.0,2.5,-1.0,0.22999999999999998,original,2525,612,1913,769,0.30455445544554455,1214,0.4807920792079208,0,1214,0.6346053319393623,1214,699,0,0,1214,0.4807920792079208,616.9999999999999,0.0,0.006501950585175552,0.006501950585175552,1.0065019505851756,0,0,0
4,before_tree,50.0,49,1.0,2.5,-1.0,0.22999999999999998,original,2525,612,1913,790,0.31287128712871287,1193,0.47247524752475245,0,1193,0.6236278097229483,1193,720,0,0,1193,0.47247524752475245,617.0597949886104,0.0,0.0028473804100227792,0.006501950585175552,1.0065019505851756,0,0,0
4,before_tree,100.0,99,1.0,2.5,-1.0,0.22999999999999998,original,2525,612,1913,813,0.321980198019802,1173,0.4645544554455446,0,1173,0.6131730266596969,1173,740,0,0,1173,0.4645544554455446,617.0485387643629,0.0,0.0028473804100227792,0.006501950585175552,1.0065019505851756,0,0,0
4,before_tree,250.0,249,1.0,2.5,-1.0,0.22999999999999998,original,2525,612,1913,808,0.32,1175,0.46534653465346537,0,1175,0.6142185049660219,1175,738,0,0,1175,0.46534653465346537,616.8406096430296,0.0,0.0028473804100227792,0.006501950585175552,1.0065019505851756,0,0,0
4,before_tree,500.0,499,1.0,2.5,-1.0,0.22999999999999998,original,2525,612,1913,799,0.31643564356435644,1175,0.46534653465346537,0,1175,0.6142185049660219,1175,738,0,0,1175,0.46534653465346537,616.6761095526834,0.0,0.0028473804100227792,0.006501950585175552,1.0065019505851756,0,0,0
4,before_tree,750.0,749,1.0,2.5,-1.0,0.22999999999999998,original,2525,612,1913,796,0.31524752475247525,1174,0.464950495049505,0,1174,0.6136957658128593,1174,739,0,0,1174,0.464950495049505,616.5798577272498,0.0,0.0028473804100227792,0.006501950585175552,1.0065019505851756,0,0,0
4,before_tree,1000.0,999,1.0,2.5,-1.0,0.22999999999999998,original,2525,612,1913,804,0.3184158415841584,1163,0.4605940594059406,0,1163,0.6079456351280711,1163,750,0,0,1163,0.4605940594059406,616.5478182179028,0.0,0.0028473804100227792,0.006501950585175552,1.0065019505851756,0,0,0
4,after_final_tree,,1000,1.0,2.5,-1.0,0.22999999999999998,original,2525,612,1913,804,0.3184158415841584,1163,0.4605940594059406,0,1163,0.6079456351280711,1163,750,0,0,1163,0.4605940594059406,616.5478182179028,0.0,0.0028473804100227792,0.006501950585175552,1.0065019505851756,0,0,0
