outer_fold,tree_number,tree_num_leaves,stump_tree,leaf_index,leaf_count,leaf_value,stored_leaf_sum_hessian,stored_leaf_hessian_is_missing,stored_leaf_hessian_is_nonfinite,stored_leaf_hessian_is_negative,stored_leaf_hessian_is_zero,stored_leaf_hessian_is_positive
0,2,29,False,28,37,-0.009366786641228727,5.117187497206032,False,False,False,False,True
0,2,29,False,20,2,-0.020614169160359946,2.0130207538604727,False,False,False,False,True
0,2,29,False,27,69,-0.013475983668899997,4.221354003064334,False,False,False,False,True
0,2,29,False,8,177,0.00018645215962115753,50.201822872273624,False,False,False,False,True
0,2,29,False,14,273,-0.0038020250066363804,86.6054683397524,False,False,False,False,True
0,2,29,False,13,24,-0.007073412483529704,6.032552082557231,False,False,False,False,True
0,2,29,False,23,25,-0.013883131351935241,4.110677001532165,False,False,False,False,True
0,2,29,False,3,34,0.0015140643564037239,8.078124998137357,False,False,False,False,True
0,2,29,False,22,17,-0.0013291444774887933,4.045572915580124,False,False,False,False,True
0,2,29,False,25,27,-0.007639567863103323,4.130208330228923,False,False,False,False,True
0,2,29,False,4,39,0.0026065587515978483,3.1432291632518163,False,False,False,False,True
0,2,29,False,11,232,-0.014178760485938606,36.95703015848994,False,False,False,False,True
0,2,29,False,12,289,-0.008817834683924759,39.98307245783508,False,False,False,False,True
0,3,27,False,0,57,-0.009268120207773423,11.097656049765645,False,False,False,False,True
0,3,27,False,10,99,-0.00030449918526626995,31.078124998137355,False,False,False,False,True
0,3,27,False,8,423,0.0035442954697889654,104.62499998509884,False,False,False,False,True
0,3,27,False,11,330,-0.00024448607808373927,77.31249995296821,False,False,False,False,True
0,3,27,False,6,30,-0.014922036371812204,5.12369771581143,False,False,False,False,True
0,3,27,False,16,12,-0.0010042700441876965,4.039062499068677,False,False,False,False,True
0,3,27,False,2,96,0.0026139182826919617,50.09114583116025,False,False,False,False,True
0,3,27,False,15,86,0.008657087983943722,20.065104165114462,False,False,False,False,True
0,3,27,False,12,16,-0.004575769758689133,9.019531170371918,False,False,False,False,True
0,3,27,False,5,129,0.0077534751977969855,37.078124998137355,False,False,False,False,True
0,3,27,False,21,75,0.01102264570091316,27.078124998137355,False,False,False,False,True
0,3,27,False,19,31,0.0025392213895089185,7.013020833022892,False,False,False,False,True
0,3,27,False,1,218,-0.011837753129247827,25.891926547512412,False,False,False,False,True
0,3,27,False,20,70,-0.007300729576223532,16.240885292179883,False,False,False,False,True
0,3,27,False,17,2,0.004517914390709886,1.999999999999999,False,False,False,False,True
0,3,27,False,25,49,-0.003909980033645575,3.221354161389172,False,False,False,False,True
0,3,27,False,7,10,-0.019180875094603148,3.039062380325049,False,False,False,False,True
0,3,27,False,26,52,-0.015391219457449378,4.273437335155904,False,False,False,False,True
0,3,27,False,24,18,-0.025417839106932932,2.0911457519978267,False,False,False,False,True
0,3,27,False,3,92,-0.008666790842774934,27.28645800985396,False,False,False,False,True
0,3,27,False,18,30,-0.0018405499204108852,9.03255208255723,False,False,False,False,True
0,3,27,False,13,443,-0.0010898123140369203,87.79427077481523,False,False,False,False,True
0,3,27,False,14,60,-0.006588209668005055,25.156249798368663,False,False,False,False,True
0,3,27,False,4,27,-0.012631055411489941,11.130207934416832,False,False,False,False,True
0,3,27,False,22,29,-0.018944628097189425,6.123697676230225,False,False,False,False,True
0,3,27,False,9,27,-0.008391865737976253,5.065104125533251,False,False,False,False,True
0,3,27,False,23,13,-0.0006306084018294304,5.032552082557231,False,False,False,False,True
0,4,30,False,0,205,-0.0005311556892318255,54.273437374737114,False,False,False,False,True
0,4,30,False,10,10,-0.011579812554233081,6.0455727968364945,False,False,False,False,True
0,4,30,False,9,14,-0.014131536935224781,5.045572757255285,False,False,False,False,True
0,4,30,False,7,7,0.012272577676558646,3.0000000000000027,False,False,False,False,True
0,4,30,False,24,83,0.0056824377999884,14.13671874674037,False,False,False,False,True
0,4,30,False,16,54,0.0039137871126746285,23.039062499068677,False,False,False,False,True
0,4,30,False,19,167,-0.0006341575840853018,43.253906204365194,False,False,False,False,True
0,4,30,False,2,55,0.005254120208023072,19.00651041651145,False,False,False,False,True
0,4,30,False,22,20,0.0006711703329824019,11.039062499068676,False,False,False,False,True
0,4,30,False,20,27,0.0008463905519112537,14.026041666045787,False,False,False,False,True
0,4,30,False,26,25,-0.0031387940295373343,11.019531209953128,False,False,False,False,True
0,4,30,False,5,373,0.008715826272007446,91.24739582743496,False,False,False,False,True
0,4,30,False,14,17,0.0009035844714982815,10.019531249534337,False,False,False,False,True
0,4,30,False,6,172,0.0014732846563248927,41.13671874674037,False,False,False,False,True
0,4,30,False,18,37,0.007823534563753756,12.052083332091568,False,False,False,False,True
0,4,30,False,1,39,-0.0054118743947522505,6.104166664183138,False,False,False,False,True
0,4,30,False,29,12,-0.010525432684319106,3.0390624990686774,False,False,False,False,True
0,4,30,False,21,2,-0.02017714057277594,2.0130207538604727,False,False,False,False,True
0,4,30,False,28,68,-0.013257423315157514,4.214843586552888,False,False,False,False,True
0,4,30,False,8,326,-0.0008348696703359179,97.4947915757075,False,False,False,False,True
0,4,30,False,15,59,-0.0065181817869004975,20.130208132322878,False,False,False,False,True
0,4,30,False,13,41,-0.012386553195992201,9.156249798368664,False,False,False,False,True
0,4,30,False,17,73,-0.004157889134612238,20.169270789716393,False,False,False,False,True
0,4,30,False,3,34,0.0015281534219509646,8.078124998137357,False,False,False,False,True
0,4,30,False,23,17,-0.001278383225381745,4.045572915580124,False,False,False,False,True
0,4,30,False,27,27,-0.007520224875599633,4.130208330228923,False,False,False,False,True
0,4,30,False,4,139,-0.013150608794644423,30.566405326128006,False,False,False,False,True
0,4,30,False,12,335,-0.007454507481420857,43.074218368157744,False,False,False,False,True
0,4,30,False,11,2,-0.028931791280403886,1.0065103769302366,False,False,False,False,True
0,4,30,False,25,84,-0.018051293989845806,5.43619770836085,False,False,False,False,True
0,5,28,False,0,205,-0.0005252877246065841,54.273437374737114,False,False,False,False,True
0,5,28,False,9,10,-0.011451883622200712,6.0455727968364945,False,False,False,False,True
0,5,28,False,8,14,-0.013975418123453332,5.045572757255285,False,False,False,False,True
0,5,28,False,7,7,0.012028752679433164,3.013020833022895,False,False,False,False,True
0,5,28,False,23,83,0.005636743916429916,14.123697913717477,False,False,False,False,True
0,5,28,False,16,54,0.0038705493216533633,23.039062499068677,False,False,False,False,True
0,5,28,False,19,167,-0.0006271516952051699,43.253906204365194,False,False,False,False,True
0,5,28,False,2,34,0.0022888272078341646,23.026041666045785,False,False,False,False,True
0,5,28,False,21,31,-0.0014624017390817087,17.026041626464576,False,False,False,False,True
0,5,28,False,5,370,0.00851753462620139,98.22135416138917,False,False,False,False,True
0,5,28,False,11,19,0.0003764651793263966,10.026041666045783,False,False,False,False,True
0,5,28,False,6,40,-0.00387414964872296,8.052083332091568,False,False,False,False,True
0,5,28,False,17,232,0.0036710481890053987,53.19531249534339,False,False,False,False,True
0,5,28,False,1,38,0.004261802939755628,12.071614581625907,False,False,False,False,True
0,5,28,False,15,331,-0.0025592831465509882,101.66406212793663,False,False,False,False,True
0,5,28,False,14,85,-0.003934487190623818,23.195312455762178,False,False,False,False,True
0,5,28,False,18,91,-0.010538214896298602,13.240885213017462,False,False,False,False,True
