model_a,model_a_display_name,model_b,model_b_display_name,subset,subset_label,metric,n_paired,model_a_value,model_b_value,difference_a_minus_b,ci_lower,ci_upper,,Text,,bootstrap_ci_excludes_zero,n_bootstrap_valid,better_direction,effect_in_favor_of_a,observed_better_model,permutation_p_two_sided,permutation_p_two_sided_holm_pair_dataset,significant_permutation_holm_0.05,holm_family_size,n_extreme_permutations,n_valid_permutations,n_permutations_requested,,,,,,,,,,,,,,,,
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),measured_threshold,Measured compounds: threshold-derived,pr_auc_nonpenetrant,765,0.607696998,0.546901619,0.06079538,-0.004270241,0.121225008,,"0.608 (-0.004,0.121) [p=0.085]",,FALSE,10000,higher,0.06079538,custom_mtl_original,0.084891511,0.764023598,FALSE,9,848,10000,10000,,,,,,,,,,,,,,,,
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),measured_threshold,Measured compounds: threshold-derived,roc_auc,765,0.901146035,0.890397721,0.010748313,-0.007476753,0.028922506,,"0.901 (-0.007,0.029) [p=0.284]",,FALSE,10000,higher,0.010748313,custom_mtl_original,0.284371563,1,FALSE,9,2843,10000,10000,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,all_threshold,All labelled compounds: threshold-derived,balanced_accuracy,3156,0.5,0.612729716,-0.112729716,-0.127397844,-0.098780215,,,,TRUE,10000,higher,-0.112729716,custom_mtl_original,1.00E-04,0.00089991,TRUE,9,0,10000,10000,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,all_threshold,All labelled compounds: threshold-derived,cohens_kappa,3156,0,0.278187203,-0.278187203,-0.311878437,-0.245699665,,,,TRUE,10000,higher,-0.278187203,custom_mtl_original,1.00E-04,0.00089991,TRUE,9,0,10000,10000,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,all_threshold,All labelled compounds: threshold-derived,mcc,3156,,0.347125699,,,,,,,FALSE,0,higher,,tie,1.00E-04,0.00089991,TRUE,9,0,10000,10000,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,all_threshold,All labelled compounds: threshold-derived,np_f1,3156,,0.386185243,,,,,,,FALSE,0,higher,,tie,1.00E-04,0.00089991,TRUE,9,0,10000,10000,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,all_threshold,All labelled compounds: threshold-derived,np_precision,3156,,0.785942492,,,,,,,FALSE,0,higher,,tie,1.00E-04,0.00089991,TRUE,9,0,10000,10000,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,all_threshold,All labelled compounds: threshold-derived,np_recall,3156,0,0.255983351,-0.255983351,-0.284079075,-0.228928193,,,,TRUE,10000,higher,-0.255983351,custom_mtl_original,1.00E-04,0.00089991,TRUE,9,0,10000,10000,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,all_threshold,All labelled compounds: threshold-derived,np_wrong_side_count,3156,961,715,246,220,273,,,,TRUE,10000,lower,-246,custom_mtl_original,1.00E-04,0.00089991,TRUE,9,0,10000,10000,,,,,,,,,,,,,,,,
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,all_threshold,All labelled compounds: threshold-derived,pr_auc_nonpenetrant,3156,0.304451786,0.630599309,-0.326147523,-0.353352281,-0.29903942,,,,TRUE,10000,higher,-0.326147523,custom_mtl_original,1.00E-04,0.00089991,TRUE,9,0,10000,10000,,,,,,,,,,,,,,,,
