cluster_key,cluster_id,cluster_label,algorithmic_medoid,selected_representative,cluster_size_defined,members_json
cluster_46,46,Cluster 46: ATSC4are (n=3),ATSC4are,ATSC4are,3,"[""ATSC4are"", ""ATSC4pe"", ""ATSC4se""]"
cluster_47,47,Cluster 47: ATSC4c (n=1),ATSC4c,ATSC4c,1,"[""ATSC4c""]"
cluster_48,48,Cluster 48: ATSC4d (n=1),ATSC4d,ATSC4d,1,"[""ATSC4d""]"
cluster_49,49,Cluster 49: ATSC4dv (n=1),ATSC4dv,ATSC4dv,1,"[""ATSC4dv""]"
cluster_50,50,Cluster 50: ATSC4i (n=1),ATSC4i,ATSC4i,1,"[""ATSC4i""]"
cluster_51,51,Cluster 51: ATSC4v (n=2),ATSC4v,ATSC4v,2,"[""ATSC4v"", ""ATSC4p""]"
cluster_52,52,Cluster 52: ATSC5m (n=2),ATSC5m,ATSC5m,2,"[""ATSC5m"", ""ATSC5Z""]"
cluster_53,53,Cluster 53: ATSC5are (n=3),ATSC5are,ATSC5are,3,"[""ATSC5are"", ""ATSC5pe"", ""ATSC5se""]"
cluster_54,54,Cluster 54: ATSC5c (n=1),ATSC5c,ATSC5c,1,"[""ATSC5c""]"
cluster_55,55,Cluster 55: ATSC5d (n=1),ATSC5d,ATSC5d,1,"[""ATSC5d""]"
cluster_56,56,Cluster 56: ATSC5dv (n=1),ATSC5dv,ATSC5dv,1,"[""ATSC5dv""]"
cluster_57,57,Cluster 57: ATSC5i (n=1),ATSC5i,ATSC5i,1,"[""ATSC5i""]"
cluster_58,58,Cluster 58: ATSC5v (n=2),ATSC5v,ATSC5v,2,"[""ATSC5v"", ""ATSC5p""]"
cluster_59,59,Cluster 59: ATSC6m (n=2),ATSC6m,ATSC6m,2,"[""ATSC6m"", ""ATSC6Z""]"
cluster_60,60,Cluster 60: ATSC6are (n=3),ATSC6are,ATSC6are,3,"[""ATSC6are"", ""ATSC6pe"", ""ATSC6se""]"
