cluster_key,cluster_id,cluster_label,algorithmic_medoid,selected_representative,cluster_size_defined,members_defined_json,importance_scale,n_paired_outer_folds,mse_mean_importance,mtl_mean_importance,mtl_minus_mse,fold_sd_difference,minimum_fold_difference,maximum_fold_difference,fraction_folds_mtl_greater,mean_difference,difference_sd,mean_test_train_ratio,nadeau_bengio_correction_factor,nadeau_bengio_standard_error,nadeau_bengio_t_statistic,nadeau_bengio_degrees_of_freedom,p_value_two_sided_nadeau_bengio,p_value_adjusted,significant_adjusted_0_05,absolute_mtl_minus_mse,difference_rank_by_absolute_value
cluster_1804,1804,Cluster 1804: ECFP_694 (n=1),ECFP_694,ECFP_694,1,"[""ECFP_694""]",raw,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500000313819021,0.4500000313819021,0.0,0.0,4.0,1.0,1.0,False,0.0,589
cluster_1809,1809,Cluster 1809: ECFP_7 (n=1),ECFP_7,ECFP_7,1,"[""ECFP_7""]",raw,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500000313819021,0.4500000313819021,0.0,0.0,4.0,1.0,1.0,False,0.0,589
cluster_1810,1810,Cluster 1810: ECFP_70 (n=1),ECFP_70,ECFP_70,1,"[""ECFP_70""]",raw,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500247917026251,0.500024791702625,0.0,0.0,3.0,1.0,1.0,False,0.0,589
cluster_1811,1811,Cluster 1811: ECFP_700 (n=1),ECFP_700,ECFP_700,1,"[""ECFP_700""]",raw,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500000313819021,0.4500000313819021,0.0,0.0,4.0,1.0,1.0,False,0.0,589
cluster_1812,1812,Cluster 1812: ECFP_701 (n=1),ECFP_701,ECFP_701,1,"[""ECFP_701""]",raw,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500000313819021,0.4500000313819021,0.0,0.0,4.0,1.0,1.0,False,0.0,589
cluster_1813,1813,Cluster 1813: ECFP_702 (n=1),ECFP_702,ECFP_702,1,"[""ECFP_702""]",raw,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500000313819021,0.4500000313819021,0.0,0.0,4.0,1.0,1.0,False,0.0,589
cluster_1815,1815,Cluster 1815: ECFP_704 (n=1),ECFP_704,ECFP_704,1,"[""ECFP_704""]",raw,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500000313819021,0.4500000313819021,0.0,0.0,4.0,1.0,1.0,False,0.0,589
cluster_1816,1816,Cluster 1816: ECFP_705 (n=1),ECFP_705,ECFP_705,1,"[""ECFP_705""]",raw,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500000313819021,0.4500000313819021,0.0,0.0,4.0,1.0,1.0,False,0.0,589
cluster_1817,1817,Cluster 1817: ECFP_706 (n=1),ECFP_706,ECFP_706,1,"[""ECFP_706""]",raw,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500000313819021,0.4500000313819021,0.0,0.0,4.0,1.0,1.0,False,0.0,589
cluster_1819,1819,Cluster 1819: ECFP_708 (n=1),ECFP_708,ECFP_708,1,"[""ECFP_708""]",raw,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500000313819021,0.4500000313819021,0.0,0.0,4.0,1.0,1.0,False,0.0,589
cluster_1820,1820,Cluster 1820: ECFP_709 (n=1),ECFP_709,ECFP_709,1,"[""ECFP_709""]",raw,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500000313819021,0.4500000313819021,0.0,0.0,4.0,1.0,1.0,False,0.0,589
cluster_1821,1821,Cluster 1821: ECFP_71 (n=1),ECFP_71,ECFP_71,1,"[""ECFP_71""]",raw,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500000313819021,0.4500000313819021,0.0,0.0,4.0,1.0,1.0,False,0.0,589
cluster_1822,1822,Cluster 1822: ECFP_710 (n=1),ECFP_710,ECFP_710,1,"[""ECFP_710""]",raw,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500247917026251,0.500024791702625,0.0,0.0,3.0,1.0,1.0,False,0.0,589
cluster_1823,1823,Cluster 1823: ECFP_711 (n=1),ECFP_711,ECFP_711,1,"[""ECFP_711""]",raw,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500000313819021,0.4500000313819021,0.0,0.0,4.0,1.0,1.0,False,0.0,589
cluster_1824,1824,Cluster 1824: ECFP_712 (n=1),ECFP_712,ECFP_712,1,"[""ECFP_712""]",raw,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500000313819021,0.4500000313819021,0.0,0.0,4.0,1.0,1.0,False,0.0,589
cluster_1826,1826,Cluster 1826: ECFP_714 (n=1),ECFP_714,ECFP_714,1,"[""ECFP_714""]",raw,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500247917026251,0.500024791702625,0.0,0.0,3.0,1.0,1.0,False,0.0,589
cluster_1827,1827,Cluster 1827: ECFP_715 (n=1),ECFP_715,ECFP_715,1,"[""ECFP_715""]",raw,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500000313819021,0.4500000313819021,0.0,0.0,4.0,1.0,1.0,False,0.0,589
cluster_1828,1828,Cluster 1828: ECFP_716 (n=1),ECFP_716,ECFP_716,1,"[""ECFP_716""]",raw,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500000313819021,0.4500000313819021,0.0,0.0,4.0,1.0,1.0,False,0.0,589
cluster_1829,1829,Cluster 1829: ECFP_717 (n=1),ECFP_717,ECFP_717,1,"[""ECFP_717""]",raw,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500000313819021,0.4500000313819021,0.0,0.0,4.0,1.0,1.0,False,0.0,589
cluster_182,182,Cluster 182: ECFP_1072 (n=1),ECFP_1072,ECFP_1072,1,"[""ECFP_1072""]",raw,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500000313819021,0.4500000313819021,0.0,0.0,4.0,1.0,1.0,False,0.0,589
