model,cluster_key,cluster_id,cluster_label,algorithmic_medoid,selected_representative,cluster_size_defined,members_defined_json,n_outer_folds,n_oof_compounds,pooled_oof_mean_abs_group_shap,fold_mean_mean_abs_group_shap,fold_sd_mean_abs_group_shap,fold_mean_normalized_group_shap,fold_sd_normalized_group_shap,pooled_oof_mean_signed_group_shap,fold_mean_cancellation_fraction,minimum_fold_mean_abs_group_shap,maximum_fold_mean_abs_group_shap,fraction_folds_positive_mean_signed,minimum_cluster_size_used_by_model,maximum_cluster_size_used_by_model,raw_importance_rank_within_model,normalized_importance_rank_within_model
custom_mtl_original,cluster_42,42,Cluster 42: ATSC3dv (n=1),ATSC3dv,ATSC3dv,1,"[""ATSC3dv""]",5,3156,0.013422863522973708,0.013420418883201479,0.007076303764106961,0.00888075634170132,0.004482553080134446,0.0007110687203208425,0.0,0.005370879938985385,0.02113570200435444,0.8,1,1,18,18
custom_mtl_original,cluster_2156,2156,Cluster 2156: GeomShapeIndex (n=2),GeomShapeIndex,GeomShapeIndex,2,"[""GeomShapeIndex"", ""GeomPetitjeanIndex""]",5,3156,0.013001234631921207,0.013001755398567552,0.00489577712175807,0.008548720744249139,0.0023085977490367817,-0.00031074374872459853,0.006463112878227162,0.00749241825074194,0.02090422016855664,0.4,2,2,19,19
custom_mtl_original,cluster_59,59,Cluster 59: ATSC6m (n=2),ATSC6m,ATSC6m,2,"[""ATSC6m"", ""ATSC6Z""]",5,3156,0.012785162820262387,0.012788611536960615,0.01173725918559471,0.00834023697740659,0.007428485033793319,9.481485166353257e-06,0.03333981127121122,0.0019044616373492965,0.02687050416950511,0.4,2,2,20,20
custom_mtl_original,cluster_51,51,Cluster 51: ATSC4v (n=2),ATSC4v,ATSC4v,2,"[""ATSC4v"", ""ATSC4p""]",5,3156,0.01240715073736932,0.01240940649894637,0.008607859783833327,0.008028091488883154,0.004647285333927917,0.0009466295343167387,0.09709438288129091,0.005290222961780481,0.0266075024959802,1.0,2,2,21,21
custom_mtl_original,cluster_2325,2325,Cluster 2325: SRW05 (n=5),SRW05,SRW05,5,"[""SRW05"", ""SRW07"", ""SRW09"", ""Xch-5dv"", ""Xch-5d""]",5,3156,0.011833656728103633,0.011831094507000763,0.0059380264149462,0.00799165723921186,0.0042583226130562596,0.00018757734473736346,0.09611148512971546,0.004734467653776581,0.019917464307657843,0.6,5,5,22,22
custom_mtl_original,cluster_2152,2152,Cluster 2152: FPSA4 (n=1),FPSA4,FPSA4,1,"[""FPSA4""]",5,3156,0.011440997039532377,0.011442649134442628,0.0098646106464406,0.00797752145786952,0.006992771340928406,5.615745733700896e-06,0.0,0.0010300398496871296,0.02501845832810182,0.4,1,1,23,23
custom_mtl_original,cluster_2153,2153,Cluster 2153: FilterItLogS (n=1),FilterItLogS,FilterItLogS,1,"[""FilterItLogS""]",5,3156,0.011254632251045213,0.01125618158763727,0.005580208310601103,0.007581598416743318,0.003926704332419655,0.0007790011397594851,0.0,0.005809333080729106,0.017574821537990285,0.6,1,1,24,24
custom_mtl_original,cluster_2345,2345,Cluster 2345: VSA_EState7 (n=1),VSA_EState7,VSA_EState7,1,"[""VSA_EState7""]",5,3156,0.011078638484573947,0.011077975987503949,0.0023767251416804734,0.00745974513911649,0.0016479249435211773,0.00039366609216011595,0.0,0.008436126143505118,0.013893056177789876,0.8,1,1,25,25
custom_mtl_original,cluster_169,169,Cluster 169: ECFP_1060 (n=1),ECFP_1060,ECFP_1060,1,"[""ECFP_1060""]",5,3156,0.010739304297876758,0.010741161283954007,0.008278217568984714,0.006878545101894224,0.004693494459522985,-0.001023076433571945,0.0,0.0018941670980902406,0.023177272369409353,0.2,1,1,26,28
custom_mtl_original,cluster_78,78,Cluster 78: ATSC8i (n=1),ATSC8i,ATSC8i,1,"[""ATSC8i""]",5,3156,0.010599445575660718,0.010599424200630458,0.003577808598221878,0.007174742348552932,0.002547845095752617,0.00022906203512103876,0.0,0.006051594489289571,0.014978445355780258,0.8,1,1,27,26
custom_mtl_original,cluster_33,33,Cluster 33: ATSC2c (n=1),ATSC2c,ATSC2c,1,"[""ATSC2c""]",5,3156,0.010421718760044454,0.010421671404572095,0.004916331799317378,0.007101905674360929,0.003408312206087584,0.00011054289127971397,0.0,0.005613854841249676,0.01690880605364599,0.6,1,1,28,27
custom_mtl_original,cluster_2329,2329,Cluster 2329: SlogP_VSA10 (n=1),SlogP_VSA10,SlogP_VSA10,1,"[""SlogP_VSA10""]",5,3156,0.009936161677440035,0.00993661966789423,0.003497247558679262,0.006850580990668781,0.0027839064260509203,-4.611178756276213e-05,0.0,0.005325624891780223,0.014844809613811051,0.4,1,1,29,29
custom_mtl_original,cluster_37,37,Cluster 37: ATSC2v (n=2),ATSC2v,ATSC2v,2,"[""ATSC2v"", ""ATSC2p""]",5,3156,0.009713774223059827,0.009715756314259399,0.007518050153809194,0.006517913311261317,0.0054026340195955985,0.00037039462170745675,0.16679652476259288,0.002445912685217554,0.021141221666950264,0.4,2,2,30,30
custom_mtl_original,cluster_2283,2283,Cluster 2283: SaaNH (n=2),SaaNH,SaaNH,2,"[""SaaNH"", ""NaaNH""]",5,3156,0.008950055924494812,0.008952313274252619,0.006083306374688416,0.005825457148563168,0.003797384670285858,-0.0002694353873908088,0.010285497020737732,0.0018281174386190978,0.014466897555744103,0.6,2,2,31,33
custom_mtl_original,cluster_87,87,Cluster 87: C1SP2 (n=1),C1SP2,C1SP2,1,"[""C1SP2""]",5,3156,0.008853850119488745,0.008854026807041013,0.003551812538565812,0.005934190093052174,0.002472450418698919,-0.0007667001009867755,0.0,0.003782431684902915,0.013306187754466405,0.2,1,1,32,32
custom_mtl_original,cluster_2340,2340,Cluster 2340: VSA_EState1 (n=1),VSA_EState1,VSA_EState1,1,"[""VSA_EState1""]",5,3156,0.008816284095844062,0.008813776303789381,0.005917643513398877,0.005949784156543304,0.004113348490773103,-0.00035810847635693924,0.0,0.0019906056519107393,0.01672836802836634,0.4,1,1,33,31
