model,cluster_key,cluster_id,cluster_label,algorithmic_medoid,selected_representative,cluster_size_defined,members_defined_json,n_outer_folds,n_oof_compounds,pooled_oof_mean_abs_group_shap,fold_mean_mean_abs_group_shap,fold_sd_mean_abs_group_shap,fold_mean_normalized_group_shap,fold_sd_normalized_group_shap,pooled_oof_mean_signed_group_shap,fold_mean_cancellation_fraction,minimum_fold_mean_abs_group_shap,maximum_fold_mean_abs_group_shap,fraction_folds_positive_mean_signed,minimum_cluster_size_used_by_model,maximum_cluster_size_used_by_model,raw_importance_rank_within_model,normalized_importance_rank_within_model
lightgbm_mse_regression,cluster_30,30,Cluster 30: ATSC0c (n=3),ATSC0c,ATSC0c,3,"[""ATSC0c"", ""DPSA4"", ""ATSC1c""]",5,3156,0.0162783621042865,0.01627891485651389,0.008405751877948196,0.010719704333859874,0.005368590447450846,-0.003956996145694356,0.20288313102937297,0.004983202898843863,0.028062888214835012,0.0,3,3,11,11
lightgbm_mse_regression,cluster_2316,2316,Cluster 2316: RNCS (n=1),RNCS,RNCS,1,"[""RNCS""]",5,3156,0.016050868651216174,0.016051705061009267,0.004677598780581344,0.010535138313702707,0.0026244073303342834,-0.0033022134453594447,0.0,0.012494082340693314,0.02358712768280209,0.0,1,1,12,12
lightgbm_mse_regression,cluster_2345,2345,Cluster 2345: VSA_EState7 (n=1),VSA_EState7,VSA_EState7,1,"[""VSA_EState7""]",5,3156,0.01597237893621752,0.01597355251264006,0.0040762453206018056,0.010502734808803364,0.002321252366449241,0.0006108329101272471,0.0,0.012052463734782666,0.02193404146158847,0.8,1,1,13,13
lightgbm_mse_regression,cluster_2152,2152,Cluster 2152: FPSA4 (n=1),FPSA4,FPSA4,1,"[""FPSA4""]",5,3156,0.014164237199190728,0.014167191597275178,0.016174635686224296,0.00945803463917896,0.010814272126058197,-0.001735384277183954,0.0,0.001098893706985158,0.036070196632525114,0.0,1,1,14,14
lightgbm_mse_regression,cluster_2280,2280,Cluster 2280: MIC3 (n=5),MIC3,MIC3,5,"[""MIC3"", ""MIC2"", ""MIC4"", ""MIC5"", ""MIC1""]",5,3156,0.013739602015061133,0.013743076607018099,0.007560449179230151,0.00897794560250584,0.004896369670054569,-0.001433576108113812,0.22473573282651976,0.002777264390830461,0.02082843747745897,0.4,5,5,15,15
lightgbm_mse_regression,cluster_2203,2203,Cluster 2203: NdO (n=4),NdO,NdO,4,"[""NdO"", ""SdO"", ""nBondsD"", ""MACCS_136""]",5,3156,0.013373862246679054,0.013375040594442078,0.008197983607217253,0.008720009282436152,0.005074251714005106,-0.003916178555323017,0.09937198175807649,0.00440052428100881,0.02355570737328246,0.0,4,4,16,16
lightgbm_mse_regression,cluster_51,51,Cluster 51: ATSC4v (n=2),ATSC4v,ATSC4v,2,"[""ATSC4v"", ""ATSC4p""]",5,3156,0.012764063647040937,0.012766525196267855,0.006614586241383387,0.008355212959216759,0.004231534065848661,0.002830899067816829,0.07932671715809932,0.004997875836104637,0.023055765792158338,0.8,2,2,17,18
lightgbm_mse_regression,cluster_2156,2156,Cluster 2156: GeomShapeIndex (n=2),GeomShapeIndex,GeomShapeIndex,2,"[""GeomShapeIndex"", ""GeomPetitjeanIndex""]",5,3156,0.012726782119292178,0.012726218116107201,0.0034164742251323976,0.008461021405970893,0.0024330529516139038,0.00011736646788769552,0.01566402092935295,0.008221232742211773,0.017104147700613533,0.8,2,2,18,17
lightgbm_mse_regression,cluster_59,59,Cluster 59: ATSC6m (n=2),ATSC6m,ATSC6m,2,"[""ATSC6m"", ""ATSC6Z""]",5,3156,0.01194238450493461,0.011943332632081808,0.004562006825835513,0.007826459218559784,0.0027436556260394297,0.0007870285370115308,0.028204550262828244,0.007196200964317393,0.01699761293864703,1.0,2,2,19,20
lightgbm_mse_regression,cluster_2329,2329,Cluster 2329: SlogP_VSA10 (n=1),SlogP_VSA10,SlogP_VSA10,1,"[""SlogP_VSA10""]",5,3156,0.01191484572290975,0.011914708219844219,0.0016431332391199822,0.00788207080090422,0.00110819028766704,-0.003828274988693606,0.0,0.009860873655940898,0.014182154960057092,0.0,1,1,20,19
