scope,cluster_id,cluster_size,medoid_candidate_rank,feature,mean_distance_to_cluster,mean_abs_correlation_to_cluster,min_abs_correlation_to_cluster,max_abs_correlation_to_cluster,missing_fraction,n_nonmissing,variance_after_imputation,algorithmic_medoid,selected_representative,is_algorithmic_medoid,is_selected_representative,members_json
final,1485,1,1,ECFP_404,0.0,1.0,1.0,1.0,0.0,3156,0.005670893030114649,ECFP_404,ECFP_404,True,True,"[""ECFP_404""]"
final,1486,1,1,ECFP_405,0.0,1.0,1.0,1.0,0.0,3156,0.0037878240252136076,ECFP_405,ECFP_405,True,True,"[""ECFP_405""]"
final,1487,1,1,ECFP_406,0.0,1.0,1.0,1.0,0.0,3156,0.007858670631191559,ECFP_406,ECFP_406,True,True,"[""ECFP_406""]"
final,1488,1,1,ECFP_407,0.0,1.0,1.0,1.0,0.0,3156,0.05713542193757319,ECFP_407,ECFP_407,True,True,"[""ECFP_407""]"
final,1489,1,1,ECFP_408,0.0,1.0,1.0,1.0,0.0,3156,0.027105912892898393,ECFP_408,ECFP_408,True,True,"[""ECFP_408""]"
final,1490,1,1,ECFP_409,0.0,1.0,1.0,1.0,0.0,3156,0.011895582638979248,ECFP_409,ECFP_409,True,True,"[""ECFP_409""]"
final,1491,1,1,ECFP_41,0.0,1.0,1.0,1.0,0.0,3156,0.03186719805436282,ECFP_41,ECFP_41,True,True,"[""ECFP_41""]"
final,1492,1,1,ECFP_410,0.0,1.0,1.0,1.0,0.0,3156,0.003787824025213607,ECFP_410,ECFP_410,True,True,"[""ECFP_410""]"
final,1493,1,1,ECFP_411,0.0,1.0,1.0,1.0,0.0,3156,0.009104411738720463,ECFP_411,ECFP_411,True,True,"[""ECFP_411""]"
final,1494,1,1,ECFP_412,0.0,1.0,1.0,1.0,0.0,3156,0.00785867063119156,ECFP_412,ECFP_412,True,True,"[""ECFP_412""]"
final,1495,1,1,ECFP_413,0.0,1.0,1.0,1.0,0.0,3156,0.012204708756813029,ECFP_413,ECFP_413,True,True,"[""ECFP_413""]"
final,1496,1,1,ECFP_414,0.0,1.0,1.0,1.0,0.0,3156,0.009415345024505195,ECFP_414,ECFP_414,True,True,"[""ECFP_414""]"
final,1497,1,1,ECFP_415,0.0,1.0,1.0,1.0,0.0,3156,0.002528428759833002,ECFP_415,ECFP_415,True,True,"[""ECFP_415""]"
final,1498,1,1,ECFP_416,0.0,1.0,1.0,1.0,0.0,3156,0.001897526348508725,ECFP_416,ECFP_416,True,True,"[""ECFP_416""]"
final,1499,1,1,ECFP_417,0.0,1.0,1.0,1.0,0.0,3156,0.0015817739481880934,ECFP_417,ECFP_417,True,True,"[""ECFP_417""]"
final,1500,1,1,ECFP_418,0.0,1.0,1.0,1.0,0.0,3156,0.006296976326903027,ECFP_418,ECFP_418,True,True,"[""ECFP_418""]"
final,1501,1,1,ECFP_419,0.0,1.0,1.0,1.0,0.0,3156,0.01282235860316359,ECFP_419,ECFP_419,True,True,"[""ECFP_419""]"
final,1502,1,1,ECFP_42,0.0,1.0,1.0,1.0,0.0,3156,0.010346940103225438,ECFP_42,ECFP_42,True,True,"[""ECFP_42""]"
final,1503,1,1,ECFP_420,0.0,1.0,1.0,1.0,0.0,3156,0.0031585279854012965,ECFP_420,ECFP_420,True,True,"[""ECFP_420""]"
final,1504,1,1,ECFP_421,0.0,1.0,1.0,1.0,0.0,3156,0.007546733363211846,ECFP_421,ECFP_421,True,True,"[""ECFP_421""]"
final,1505,1,1,ECFP_422,0.0,1.0,1.0,1.0,0.0,3156,0.004730262111639609,ECFP_422,ECFP_422,True,True,"[""ECFP_422""]"
final,1506,1,1,ECFP_423,0.0,1.0,1.0,1.0,0.0,3156,0.006922256437935429,ECFP_423,ECFP_423,True,True,"[""ECFP_423""]"
final,1507,1,1,ECFP_424,0.0,1.0,1.0,1.0,0.0,3156,0.007546733363211845,ECFP_424,ECFP_424,True,True,"[""ECFP_424""]"
final,1508,1,1,ECFP_425,0.0,1.0,1.0,1.0,0.0,3156,0.009104411738720463,ECFP_425,ECFP_425,True,True,"[""ECFP_425""]"
final,1509,1,1,ECFP_426,0.0,1.0,1.0,1.0,0.0,3156,0.011895582638979248,ECFP_426,ECFP_426,True,True,"[""ECFP_426""]"
final,1510,1,1,ECFP_427,0.0,1.0,1.0,1.0,0.0,3156,0.010346940103225438,ECFP_427,ECFP_427,True,True,"[""ECFP_427""]"
final,1511,1,1,ECFP_428,0.0,1.0,1.0,1.0,0.0,3156,0.017429130904820882,ECFP_428,ECFP_428,True,True,"[""ECFP_428""]"
final,1512,1,1,ECFP_429,0.0,1.0,1.0,1.0,0.0,3156,0.009726077513850935,ECFP_429,ECFP_429,True,True,"[""ECFP_429""]"
final,1513,1,1,ECFP_43,0.0,1.0,1.0,1.0,0.0,3156,0.01681750495164019,ECFP_43,ECFP_43,True,True,"[""ECFP_43""]"
final,1514,1,1,ECFP_430,0.0,1.0,1.0,1.0,0.0,3156,0.016205075812703508,ECFP_430,ECFP_430,True,True,"[""ECFP_430""]"
final,1515,1,1,ECFP_431,0.0,1.0,1.0,1.0,0.0,3156,0.009415345024505197,ECFP_431,ECFP_431,True,True,"[""ECFP_431""]"
final,1516,1,1,ECFP_432,0.0,1.0,1.0,1.0,0.0,3156,0.009415345024505193,ECFP_432,ECFP_432,True,True,"[""ECFP_432""]"
final,1517,1,1,ECFP_433,0.0,1.0,1.0,1.0,0.0,3156,0.0050440065475702844,ECFP_433,ECFP_433,True,True,"[""ECFP_433""]"
final,1518,1,1,ECFP_434,0.0,1.0,1.0,1.0,0.0,3156,0.005670893030114649,ECFP_434,ECFP_434,True,True,"[""ECFP_434""]"
final,1519,1,1,ECFP_435,0.0,1.0,1.0,1.0,0.0,3156,0.008481942777834001,ECFP_435,ECFP_435,True,True,"[""ECFP_435""]"
final,1520,1,1,ECFP_436,0.0,1.0,1.0,1.0,0.0,3156,0.002843578770836647,ECFP_436,ECFP_436,True,True,"[""ECFP_436""]"
final,1521,1,1,ECFP_437,0.0,1.0,1.0,1.0,0.0,3156,0.016817504951640187,ECFP_437,ECFP_437,True,True,"[""ECFP_437""]"
final,1522,1,1,ECFP_438,0.0,1.0,1.0,1.0,0.0,3156,0.0034732764035269475,ECFP_438,ECFP_438,True,True,"[""ECFP_438""]"
final,1523,1,1,ECFP_439,0.0,1.0,1.0,1.0,0.0,3156,0.0037878240252136076,ECFP_439,ECFP_439,True,True,"[""ECFP_439""]"
final,1524,1,1,ECFP_44,0.0,1.0,1.0,1.0,0.0,3156,0.002843578770836647,ECFP_44,ECFP_44,True,True,"[""ECFP_44""]"
final,1525,1,1,ECFP_440,0.0,1.0,1.0,1.0,0.0,3156,0.01528492613100602,ECFP_440,ECFP_440,True,True,"[""ECFP_440""]"
final,1526,1,1,ECFP_441,0.0,1.0,1.0,1.0,0.0,3156,0.03422856417695148,ECFP_441,ECFP_441,True,True,"[""ECFP_441""]"
final,1527,1,1,ECFP_442,0.0,1.0,1.0,1.0,0.0,3156,0.003473276403526948,ECFP_442,ECFP_442,True,True,"[""ECFP_442""]"
final,1528,1,1,ECFP_443,0.0,1.0,1.0,1.0,0.0,3156,0.002843578770836647,ECFP_443,ECFP_443,True,True,"[""ECFP_443""]"
final,1529,1,1,ECFP_444,0.0,1.0,1.0,1.0,0.0,3156,0.006296976326903027,ECFP_444,ECFP_444,True,True,"[""ECFP_444""]"
final,1530,1,1,ECFP_445,0.0,1.0,1.0,1.0,0.0,3156,0.0056708930301146475,ECFP_445,ECFP_445,True,True,"[""ECFP_445""]"
final,1531,1,1,ECFP_446,0.0,1.0,1.0,1.0,0.0,3156,0.02077871670192652,ECFP_446,ECFP_446,True,True,"[""ECFP_446""]"
final,1532,1,1,ECFP_447,0.0,1.0,1.0,1.0,0.0,3156,0.006296976326903027,ECFP_447,ECFP_447,True,True,"[""ECFP_447""]"
final,1533,1,1,ECFP_448,0.0,1.0,1.0,1.0,0.0,3156,0.03599115531845513,ECFP_448,ECFP_448,True,True,"[""ECFP_448""]"
final,1534,1,1,ECFP_449,0.0,1.0,1.0,1.0,0.0,3156,0.007858670631191559,ECFP_449,ECFP_449,True,True,"[""ECFP_449""]"
final,1535,1,1,ECFP_45,0.0,1.0,1.0,1.0,0.0,3156,0.030978372617148663,ECFP_45,ECFP_45,True,True,"[""ECFP_45""]"
final,1536,1,1,ECFP_450,0.0,1.0,1.0,1.0,0.0,3156,0.006296976326903027,ECFP_450,ECFP_450,True,True,"[""ECFP_450""]"
final,1537,1,1,ECFP_451,0.0,1.0,1.0,1.0,0.0,3156,0.01096699950684395,ECFP_451,ECFP_451,True,True,"[""ECFP_451""]"
final,1538,1,1,ECFP_452,0.0,1.0,1.0,1.0,0.0,3156,0.004730262111639609,ECFP_452,ECFP_452,True,True,"[""ECFP_452""]"
final,1539,1,1,ECFP_453,0.0,1.0,1.0,1.0,0.0,3156,0.010036609206757682,ECFP_453,ECFP_453,True,True,"[""ECFP_453""]"
final,1540,1,1,ECFP_454,0.0,1.0,1.0,1.0,0.0,3156,0.0031585279854012965,ECFP_454,ECFP_454,True,True,"[""ECFP_454""]"
final,1541,1,1,ECFP_455,0.0,1.0,1.0,1.0,0.0,3156,0.023501215220048808,ECFP_455,ECFP_455,True,True,"[""ECFP_455""]"
final,1542,1,1,ECFP_456,0.0,1.0,1.0,1.0,0.0,3156,0.03833003223987625,ECFP_456,ECFP_456,True,True,"[""ECFP_456""]"
final,1543,1,1,ECFP_457,0.0,1.0,1.0,1.0,0.0,3156,0.0041021708504612705,ECFP_457,ECFP_457,True,True,"[""ECFP_457""]"
final,1544,1,1,ECFP_458,0.0,1.0,1.0,1.0,0.0,3156,0.010346940103225436,ECFP_458,ECFP_458,True,True,"[""ECFP_458""]"
final,1545,1,1,ECFP_459,0.0,1.0,1.0,1.0,0.0,3156,0.003158527985401296,ECFP_459,ECFP_459,True,True,"[""ECFP_459""]"
final,1546,1,1,ECFP_46,0.0,1.0,1.0,1.0,0.0,3156,0.012513634078207804,ECFP_46,ECFP_46,True,True,"[""ECFP_46""]"
final,1547,1,1,ECFP_460,0.0,1.0,1.0,1.0,0.0,3156,0.020171508270403735,ECFP_460,ECFP_460,True,True,"[""ECFP_460""]"
final,1548,1,1,ECFP_461,0.0,1.0,1.0,1.0,0.0,3156,0.015898560048576673,ECFP_461,ECFP_461,True,True,"[""ECFP_461""]"
final,1549,1,1,ECFP_462,0.0,1.0,1.0,1.0,0.0,3156,0.003158527985401296,ECFP_462,ECFP_462,True,True,"[""ECFP_462""]"
final,1550,1,1,ECFP_463,0.0,1.0,1.0,1.0,0.0,3156,0.01282235860316359,ECFP_463,ECFP_463,True,True,"[""ECFP_463""]"
final,1551,1,1,ECFP_464,0.0,1.0,1.0,1.0,0.0,3156,0.019867602859983846,ECFP_464,ECFP_464,True,True,"[""ECFP_464""]"
final,1552,1,1,ECFP_465,0.0,1.0,1.0,1.0,0.0,3156,0.0041021708504612705,ECFP_465,ECFP_465,True,True,"[""ECFP_465""]"
final,1553,1,1,ECFP_466,0.0,1.0,1.0,1.0,0.0,3156,0.009726077513850935,ECFP_466,ECFP_466,True,True,"[""ECFP_466""]"
final,1554,1,1,ECFP_467,0.0,1.0,1.0,1.0,0.0,3156,0.003473276403526948,ECFP_467,ECFP_467,True,True,"[""ECFP_467""]"
final,1555,1,1,ECFP_468,0.0,1.0,1.0,1.0,0.0,3156,0.003158527985401296,ECFP_468,ECFP_468,True,True,"[""ECFP_468""]"
final,1556,1,1,ECFP_469,0.0,1.0,1.0,1.0,0.0,3156,0.014055248738596768,ECFP_469,ECFP_469,True,True,"[""ECFP_469""]"
final,1557,1,1,ECFP_47,0.0,1.0,1.0,1.0,0.0,3156,0.0044163168792699355,ECFP_47,ECFP_47,True,True,"[""ECFP_47""]"
final,1558,1,1,ECFP_470,0.0,1.0,1.0,1.0,0.0,3156,0.03540442812370987,ECFP_470,ECFP_470,True,True,"[""ECFP_470""]"
final,1559,1,1,ECFP_471,0.0,1.0,1.0,1.0,0.0,3156,0.011895582638979248,ECFP_471,ECFP_471,True,True,"[""ECFP_471""]"
final,1560,1,1,ECFP_472,0.0,1.0,1.0,1.0,0.0,3156,0.007234595298793131,ECFP_472,ECFP_472,True,True,"[""ECFP_472""]"
final,1561,1,1,ECFP_473,0.0,1.0,1.0,1.0,0.0,3156,0.02500668652141855,ECFP_473,ECFP_473,True,True,"[""ECFP_473""]"
