scope,cluster_id,cluster_size,algorithmic_medoid,selected_representative,representative_source,mean_pairwise_abs_correlation,minimum_pairwise_abs_correlation,maximum_pairwise_abs_correlation,members_json,medoid_candidate_order_json
final,21,4,AATSC1p,AATSC1p,algorithmic_medoid,0.8777368626602554,0.8167380707691368,0.9751631606552613,"[""AATSC1p"", ""AATSC1v"", ""ATSC1p"", ""ATSC1v""]","[""AATSC1p"", ""AATSC1v"", ""ATSC1v"", ""ATSC1p""]"
final,22,2,ATSC1se,ATSC1se,algorithmic_medoid,0.971669450592005,0.971669450592005,0.971669450592005,"[""AATSC1se"", ""ATSC1se""]","[""ATSC1se"", ""AATSC1se""]"
final,23,5,ATSC0m,ATSC0m,algorithmic_medoid,0.9094741430706476,0.8011694819415707,0.9987397427761825,"[""ATS0Z"", ""ATS0m"", ""ATSC0Z"", ""ATSC0m"", ""ATSC0p""]","[""ATSC0m"", ""ATSC0Z"", ""ATS0Z"", ""ATS0m"", ""ATSC0p""]"
final,24,48,Sv,Sv,algorithmic_medoid,0.9506284095632679,0.8326284417117613,0.9999999817718007,"[""ATS0are"", ""ATS0i"", ""ATS0p"", ""ATS0pe"", ""ATS0se"", ""ATS0v"", ""ATS1are"", ""ATS1i"", ""ATS1pe"", ""ATS1se"", ""ATS7d"", ""ATS7p"", ""ATS7v"", ""ATS8are"", ""ATS8d"", ""ATS8i"", ""ATS8p"", ""ATS8pe"", ""ATS8se"", ""ATS8v"", ""ATSC0i"", ""ATSC0v"", ""ECIndex"", ""LabuteASA"", ""SMR"", ""Sare"", ""Si"", ""Sp"", ""Spe"", ""Sse"", ""Sv"", ""TIC0"", ""TIC1"", ""TIC2"", ""TIC3"", ""TIC4"", ""TIC5"", ""VMcGowan"", ""WPath"", ""Xp-1d"", ""Xp-1dv"", ""ZMIC0"", ""apol"", ""bpol"", ""mZagreb2"", ""nAtom"", ""nBonds"", ""nHeavyAtom""]","[""Sv"", ""ATS1pe"", ""Sp"", ""apol"", ""ATS1are"", ""ATS1se"", ""Spe"", ""ATS0se"", ""Sare"", ""ATS0pe"", ""Sse"", ""VMcGowan"", ""ATS0are"", ""nBonds"", ""ATS1i"", ""TIC5"", ""TIC4"", ""nAtom"", ""TIC3"", ""Si"", ""ATS0v"", ""ATS0i"", ""ATS7d"", ""ATS8d"", ""TIC2"", ""ZMIC0"", ""LabuteASA"", ""ATS8v"", ""ATS8pe"", ""ATS8are"", ""SMR"", ""nHeavyAtom"", ""ATS8p"", ""Xp-1d"", ""ATS8se"", ""TIC1"", ""mZagreb2"", ""ATS7v"", ""Xp-1dv"", ""ATSC0v"", ""ATS7p"", ""WPath"", ""ATS8i"", ""ATS0p"", ""TIC0"", ""ECIndex"", ""bpol"", ""ATSC0i""]"
final,25,31,TMWC10,TMWC10,algorithmic_medoid,0.9436496348850545,0.8550840375019072,1.0,"[""ATS0d"", ""ATS1Z"", ""ATS1d"", ""ATS1m"", ""ATS2Z"", ""ATS2m"", ""ATS3Z"", ""ATS3m"", ""ATS4Z"", ""ATS4m"", ""ATSC0d"", ""GRAV"", ""GRAVH"", ""GRAVHp"", ""GRAVp"", ""MPC2"", ""MW"", ""MWC01"", ""MWC02"", ""MWC03"", ""SRW02"", ""SRW04"", ""SZ"", ""Sm"", ""TMWC10"", ""Xp-2d"", ""Xp-2dv"", ""Xp-3d"", ""Zagreb1"", ""Zagreb2"", ""nBondsO""]","[""TMWC10"", ""Zagreb1"", ""MWC02"", ""GRAVH"", ""Xp-2d"", ""SRW04"", ""MPC2"", ""ATS0d"", ""MWC01"", ""nBondsO"", ""SRW02"", ""Zagreb2"", ""MWC03"", ""GRAV"", ""ATS2Z"", ""Xp-3d"", ""SZ"", ""GRAVHp"", ""MW"", ""Sm"", ""ATS1Z"", ""ATS1d"", ""ATS2m"", ""ATS3Z"", ""ATS1m"", ""GRAVp"", ""ATS3m"", ""ATS4Z"", ""ATSC0d"", ""ATS4m"", ""Xp-2dv""]"
final,26,16,ATS5dv,ATS5dv,algorithmic_medoid,0.8894077435156127,0.810520378756105,0.996572833471913,"[""ATS0dv"", ""ATS1dv"", ""ATS2dv"", ""ATS3dv"", ""ATS4dv"", ""ATS5Z"", ""ATS5dv"", ""ATS5m"", ""ATS6Z"", ""ATS6dv"", ""ATS6m"", ""BertzCT"", ""GGI5"", ""GGI6"", ""piPC1"", ""piPC2""]","[""ATS5dv"", ""ATS6dv"", ""ATS4dv"", ""ATS2dv"", ""ATS3dv"", ""piPC1"", ""ATS5m"", ""ATS6m"", ""ATS1dv"", ""ATS6Z"", ""ATS5Z"", ""BertzCT"", ""piPC2"", ""ATS0dv"", ""GGI6"", ""GGI5""]"
final,27,46,ATS5pe,ATS5pe,algorithmic_medoid,0.9425947875134544,0.810170580152904,0.9999339102047826,"[""ATS1p"", ""ATS1v"", ""ATS2are"", ""ATS2d"", ""ATS2i"", ""ATS2p"", ""ATS2pe"", ""ATS2se"", ""ATS2v"", ""ATS3are"", ""ATS3d"", ""ATS3i"", ""ATS3p"", ""ATS3pe"", ""ATS3se"", ""ATS3v"", ""ATS4are"", ""ATS4d"", ""ATS4i"", ""ATS4p"", ""ATS4pe"", ""ATS4se"", ""ATS4v"", ""ATS5are"", ""ATS5d"", ""ATS5i"", ""ATS5p"", ""ATS5pe"", ""ATS5se"", ""ATS5v"", ""ATS6are"", ""ATS6d"", ""ATS6i"", ""ATS6p"", ""ATS6pe"", ""ATS6se"", ""ATS6v"", ""ATS7are"", ""ATS7i"", ""ATS7pe"", ""ATS7se"", ""CIC0"", ""nBondsKS"", ""nBondsS"", ""nC"", ""nH""]","[""ATS5pe"", ""ATS5are"", ""ATS3pe"", ""ATS5se"", ""ATS3are"", ""ATS2se"", ""ATS4pe"", ""ATS2pe"", ""ATS3se"", ""ATS4are"", ""ATS6pe"", ""ATS2are"", ""ATS6se"", ""ATS6are"", ""ATS4se"", ""ATS5d"", ""ATS4d"", ""ATS3v"", ""ATS3p"", ""ATS6d"", ""ATS2i"", ""ATS6i"", ""ATS5i"", ""ATS4p"", ""nBondsKS"", ""ATS4v"", ""ATS2v"", ""ATS2p"", ""ATS5p"", ""ATS3d"", ""ATS2d"", ""ATS3i"", ""ATS4i"", ""ATS7se"", ""ATS5v"", ""ATS7i"", ""ATS7are"", ""ATS7pe"", ""ATS1p"", ""ATS1v"", ""ATS6p"", ""ATS6v"", ""nC"", ""nBondsS"", ""CIC0"", ""nH""]"
final,28,9,ATS8Z,ATS8Z,algorithmic_medoid,0.9173799803669372,0.8662527418679925,0.9974717053417756,"[""ATS7Z"", ""ATS7dv"", ""ATS7m"", ""ATS8Z"", ""ATS8dv"", ""ATS8m"", ""ATSC0dv"", ""GGI7"", ""GGI8""]","[""ATS8Z"", ""ATS8m"", ""ATS7m"", ""ATS7Z"", ""ATS7dv"", ""ATS8dv"", ""GGI7"", ""GGI8"", ""ATSC0dv""]"
final,29,3,ATSC0pe,ATSC0pe,algorithmic_medoid,0.9871243814479514,0.9823142362247895,0.9946055166824881,"[""ATSC0are"", ""ATSC0pe"", ""ATSC0se""]","[""ATSC0pe"", ""ATSC0are"", ""ATSC0se""]"
final,30,3,ATSC0c,ATSC0c,algorithmic_medoid,0.8805949629263647,0.8358412901598531,0.9143780232592855,"[""ATSC0c"", ""ATSC1c"", ""DPSA4""]","[""ATSC0c"", ""DPSA4"", ""ATSC1c""]"
final,31,2,ATSC2m,ATSC2m,algorithmic_medoid,0.9988528407470294,0.9988528407470294,0.9988528407470294,"[""ATSC2Z"", ""ATSC2m""]","[""ATSC2m"", ""ATSC2Z""]"
final,32,3,ATSC2are,ATSC2are,algorithmic_medoid,0.9805514609009421,0.9682816422182259,0.9922822894286046,"[""ATSC2are"", ""ATSC2pe"", ""ATSC2se""]","[""ATSC2are"", ""ATSC2pe"", ""ATSC2se""]"
final,33,1,ATSC2c,ATSC2c,algorithmic_medoid,1.0,1.0,1.0,"[""ATSC2c""]","[""ATSC2c""]"
final,34,1,ATSC2d,ATSC2d,algorithmic_medoid,1.0,1.0,1.0,"[""ATSC2d""]","[""ATSC2d""]"
final,35,1,ATSC2dv,ATSC2dv,algorithmic_medoid,1.0,1.0,1.0,"[""ATSC2dv""]","[""ATSC2dv""]"
final,36,1,ATSC2i,ATSC2i,algorithmic_medoid,1.0,1.0,1.0,"[""ATSC2i""]","[""ATSC2i""]"
final,37,2,ATSC2v,ATSC2v,algorithmic_medoid,0.9089435343012908,0.9089435343012908,0.9089435343012908,"[""ATSC2p"", ""ATSC2v""]","[""ATSC2v"", ""ATSC2p""]"
final,38,2,ATSC3m,ATSC3m,algorithmic_medoid,0.9988753245033086,0.9988753245033086,0.9988753245033086,"[""ATSC3Z"", ""ATSC3m""]","[""ATSC3m"", ""ATSC3Z""]"
final,39,3,ATSC3are,ATSC3are,algorithmic_medoid,0.9389947836432748,0.9073397177333908,0.9774889985493637,"[""ATSC3are"", ""ATSC3pe"", ""ATSC3se""]","[""ATSC3are"", ""ATSC3pe"", ""ATSC3se""]"
final,40,1,ATSC3c,ATSC3c,algorithmic_medoid,1.0,1.0,1.0,"[""ATSC3c""]","[""ATSC3c""]"
final,41,1,ATSC3d,ATSC3d,algorithmic_medoid,1.0,1.0,1.0,"[""ATSC3d""]","[""ATSC3d""]"
final,42,1,ATSC3dv,ATSC3dv,algorithmic_medoid,1.0,1.0,1.0,"[""ATSC3dv""]","[""ATSC3dv""]"
final,43,1,ATSC3i,ATSC3i,algorithmic_medoid,1.0,1.0,1.0,"[""ATSC3i""]","[""ATSC3i""]"
final,44,2,ATSC3v,ATSC3v,algorithmic_medoid,0.8555881328919078,0.8555881328919078,0.8555881328919078,"[""ATSC3p"", ""ATSC3v""]","[""ATSC3v"", ""ATSC3p""]"
final,45,2,ATSC4m,ATSC4m,algorithmic_medoid,0.9994021805150927,0.9994021805150927,0.9994021805150927,"[""ATSC4Z"", ""ATSC4m""]","[""ATSC4m"", ""ATSC4Z""]"
final,46,3,ATSC4are,ATSC4are,algorithmic_medoid,0.9645458584443626,0.9441286385136075,0.9845493735984424,"[""ATSC4are"", ""ATSC4pe"", ""ATSC4se""]","[""ATSC4are"", ""ATSC4pe"", ""ATSC4se""]"
final,47,1,ATSC4c,ATSC4c,algorithmic_medoid,1.0,1.0,1.0,"[""ATSC4c""]","[""ATSC4c""]"
final,48,1,ATSC4d,ATSC4d,algorithmic_medoid,1.0,1.0,1.0,"[""ATSC4d""]","[""ATSC4d""]"
final,49,1,ATSC4dv,ATSC4dv,algorithmic_medoid,1.0,1.0,1.0,"[""ATSC4dv""]","[""ATSC4dv""]"
final,50,1,ATSC4i,ATSC4i,algorithmic_medoid,1.0,1.0,1.0,"[""ATSC4i""]","[""ATSC4i""]"
final,51,2,ATSC4v,ATSC4v,algorithmic_medoid,0.8877808457421834,0.8877808457421834,0.8877808457421834,"[""ATSC4p"", ""ATSC4v""]","[""ATSC4v"", ""ATSC4p""]"
final,52,2,ATSC5m,ATSC5m,algorithmic_medoid,0.9993962310286624,0.9993962310286624,0.9993962310286624,"[""ATSC5Z"", ""ATSC5m""]","[""ATSC5m"", ""ATSC5Z""]"
final,53,3,ATSC5are,ATSC5are,algorithmic_medoid,0.9613668866713434,0.9449416627486541,0.9859632419566352,"[""ATSC5are"", ""ATSC5pe"", ""ATSC5se""]","[""ATSC5are"", ""ATSC5pe"", ""ATSC5se""]"
final,54,1,ATSC5c,ATSC5c,algorithmic_medoid,1.0,1.0,1.0,"[""ATSC5c""]","[""ATSC5c""]"
final,55,1,ATSC5d,ATSC5d,algorithmic_medoid,1.0,1.0,1.0,"[""ATSC5d""]","[""ATSC5d""]"
final,56,1,ATSC5dv,ATSC5dv,algorithmic_medoid,1.0,1.0,1.0,"[""ATSC5dv""]","[""ATSC5dv""]"
final,57,1,ATSC5i,ATSC5i,algorithmic_medoid,1.0,1.0,1.0,"[""ATSC5i""]","[""ATSC5i""]"
final,58,2,ATSC5v,ATSC5v,algorithmic_medoid,0.8662323546143983,0.8662323546143983,0.8662323546143983,"[""ATSC5p"", ""ATSC5v""]","[""ATSC5v"", ""ATSC5p""]"
