feature,n_nonmissing,missing_fraction,n_unique_nonmissing,status
ECFP_405,3156,0.0,2,included
ECFP_406,3156,0.0,2,included
ECFP_407,3156,0.0,2,included
ECFP_408,3156,0.0,2,included
ECFP_409,3156,0.0,2,included
ECFP_410,3156,0.0,2,included
ECFP_411,3156,0.0,2,included
ECFP_412,3156,0.0,2,included
ECFP_413,3156,0.0,2,included
ECFP_414,3156,0.0,2,included
ECFP_415,3156,0.0,2,included
ECFP_416,3156,0.0,2,included
ECFP_417,3156,0.0,2,included
ECFP_418,3156,0.0,2,included
ECFP_419,3156,0.0,2,included
ECFP_420,3156,0.0,2,included
ECFP_421,3156,0.0,2,included
ECFP_422,3156,0.0,2,included
ECFP_423,3156,0.0,2,included
ECFP_424,3156,0.0,2,included
ECFP_425,3156,0.0,2,included
ECFP_426,3156,0.0,2,included
ECFP_427,3156,0.0,2,included
ECFP_428,3156,0.0,2,included
ECFP_429,3156,0.0,2,included
ECFP_430,3156,0.0,2,included
ECFP_431,3156,0.0,2,included
ECFP_432,3156,0.0,2,included
ECFP_433,3156,0.0,2,included
ECFP_434,3156,0.0,2,included
ECFP_435,3156,0.0,2,included
ECFP_436,3156,0.0,2,included
ECFP_437,3156,0.0,2,included
ECFP_438,3156,0.0,2,included
ECFP_439,3156,0.0,2,included
ECFP_440,3156,0.0,2,included
ECFP_441,3156,0.0,2,included
ECFP_442,3156,0.0,2,included
ECFP_443,3156,0.0,2,included
ECFP_444,3156,0.0,2,included
ECFP_445,3156,0.0,2,included
ECFP_446,3156,0.0,2,included
ECFP_447,3156,0.0,2,included
ECFP_448,3156,0.0,2,included
ECFP_449,3156,0.0,2,included
ECFP_450,3156,0.0,2,included
ECFP_451,3156,0.0,2,included
ECFP_452,3156,0.0,2,included
ECFP_453,3156,0.0,2,included
ECFP_454,3156,0.0,2,included
ECFP_455,3156,0.0,2,included
ECFP_456,3156,0.0,2,included
ECFP_457,3156,0.0,2,included
ECFP_458,3156,0.0,2,included
ECFP_459,3156,0.0,2,included
ECFP_460,3156,0.0,2,included
ECFP_461,3156,0.0,2,included
ECFP_462,3156,0.0,2,included
ECFP_463,3156,0.0,2,included
ECFP_464,3156,0.0,2,included
ECFP_465,3156,0.0,2,included
ECFP_466,3156,0.0,2,included
ECFP_467,3156,0.0,2,included
ECFP_468,3156,0.0,2,included
ECFP_469,3156,0.0,2,included
ECFP_470,3156,0.0,2,included
ECFP_471,3156,0.0,2,included
ECFP_472,3156,0.0,2,included
ECFP_473,3156,0.0,2,included
ECFP_474,3156,0.0,2,included
ECFP_475,3156,0.0,2,included
ECFP_476,3156,0.0,2,included
ECFP_477,3156,0.0,2,included
ECFP_478,3156,0.0,2,included
ECFP_479,3156,0.0,2,included
ECFP_480,3156,0.0,2,included
ECFP_481,3156,0.0,2,included
ECFP_482,3156,0.0,2,included
ECFP_483,3156,0.0,2,included
ECFP_484,3156,0.0,2,included
ECFP_485,3156,0.0,2,included
ECFP_486,3156,0.0,2,included
ECFP_487,3156,0.0,2,included
ECFP_488,3156,0.0,2,included
ECFP_489,3156,0.0,2,included
ECFP_490,3156,0.0,2,included
ECFP_491,3156,0.0,2,included
ECFP_492,3156,0.0,2,included
ECFP_493,3156,0.0,2,included
ECFP_494,3156,0.0,2,included
ECFP_495,3156,0.0,2,included
ECFP_496,3156,0.0,2,included
ECFP_497,3156,0.0,2,included
ECFP_498,3156,0.0,2,included
ECFP_499,3156,0.0,2,included
ECFP_500,3156,0.0,2,included
ECFP_501,3156,0.0,2,included
ECFP_502,3156,0.0,2,included
ECFP_503,3156,0.0,2,included
ECFP_504,3156,0.0,2,included
ECFP_505,3156,0.0,2,included
ECFP_506,3156,0.0,2,included
ECFP_507,3156,0.0,2,included
ECFP_508,3156,0.0,2,included
ECFP_509,3156,0.0,2,included
ECFP_510,3156,0.0,2,included
ECFP_511,3156,0.0,2,included
ECFP_512,3156,0.0,2,included
ECFP_513,3156,0.0,2,included
ECFP_514,3156,0.0,2,included
ECFP_515,3156,0.0,2,included
ECFP_516,3156,0.0,2,included
ECFP_517,3156,0.0,2,included
ECFP_518,3156,0.0,2,included
ECFP_519,3156,0.0,2,included
ECFP_520,3156,0.0,2,included
ECFP_521,3156,0.0,2,included
ECFP_522,3156,0.0,2,included
ECFP_523,3156,0.0,2,included
ECFP_524,3156,0.0,2,included
ECFP_525,3156,0.0,2,included
ECFP_526,3156,0.0,2,included
ECFP_527,3156,0.0,2,included
ECFP_528,3156,0.0,2,included
ECFP_529,3156,0.0,2,included
ECFP_530,3156,0.0,2,included
ECFP_531,3156,0.0,2,included
ECFP_532,3156,0.0,2,included
ECFP_533,3156,0.0,2,included
ECFP_534,3156,0.0,2,included
ECFP_535,3156,0.0,2,included
ECFP_536,3156,0.0,2,included
ECFP_537,3156,0.0,2,included
ECFP_538,3156,0.0,2,included
ECFP_539,3156,0.0,2,included
ECFP_540,3156,0.0,2,included
ECFP_541,3156,0.0,2,included
ECFP_542,3156,0.0,2,included
ECFP_543,3156,0.0,2,included
ECFP_544,3156,0.0,2,included
ECFP_545,3156,0.0,2,included
