feature,pearson_r,abs_pearson_r
Spe,-0.14216379165090776,0.14216379165090776
ECFP_1243,-0.14209105429368235,0.14209105429368235
ECFP_2034,-0.14207283700093531,0.14207283700093531
AATSC0v,0.14198278442258627,0.14198278442258627
ECFP_197,-0.14165991491658336,0.14165991491658336
Mpe,-0.1414880895647816,0.1414880895647816
MWC04,-0.14083372943451922,0.14083372943451922
ECFP_447,-0.14076558449050597,0.14076558449050597
MACCS_120,-0.14037005947907086,0.14037005947907086
ECFP_1693,-0.14021013526616471,0.14021013526616471
ATS8v,-0.13999603371339925,0.13999603371339925
nAromAtom,-0.13939951911418638,0.13939951911418638
Lipinski,0.139204601670562,0.139204601670562
ECFP_1946,-0.13906718984862382,0.13906718984862382
Mse,-0.13865648823802332,0.13865648823802332
ECFP_1991,-0.1386330568377149,0.1386330568377149
ECFP_1911,0.13848469854291787,0.13848469854291787
ATSC5Z,0.13822937580807643,0.13822937580807643
ATSC2pe,-0.13819433712948503,0.13819433712948503
SRW06,-0.13787460257714185,0.13787460257714185
MACCS_38,-0.13762102730730022,0.13762102730730022
ECFP_510,-0.13739542824611561,0.13739542824611561
ATSC5m,0.13721758117015628,0.13721758117015628
Sse,-0.13718147468655228,0.13718147468655228
SssNH,-0.13641814446823286,0.13641814446823286
Xpc-6d,-0.13607328074707617,0.13607328074707617
Xch-5dv,-0.13594106967662198,0.13594106967662198
BIC0,-0.13563989214878688,0.13563989214878688
MWC05,-0.13537898278958768,0.13537898278958768
ATS1i,-0.13514724480611331,0.13514724480611331
AATSC0pe,-0.13508385758245545,0.13508385758245545
AATSC0are,-0.13504539175098307,0.13504539175098307
JGI5,-0.13502748103194606,0.13502748103194606
ATS1v,-0.13457705268663772,0.13457705268663772
ECFP_667,-0.13455635548833939,0.13455635548833939
ECFP_502,-0.1341432482552635,0.1341432482552635
ECFP_1742,0.13381795752925724,0.13381795752925724
ECFP_1476,-0.1336018827202591,0.1336018827202591
ATSC6Z,0.1332428607831082,0.1332428607831082
ECFP_126,-0.13301812730499116,0.13301812730499116
ECFP_1647,0.13300179853357624,0.13300179853357624
SsssCH,0.13286523251175827,0.13286523251175827
MACCS_79,-0.13271657689144759,0.13271657689144759
ECFP_564,-0.13270356013568857,0.13270356013568857
piPC10,-0.1326059189437941,0.1326059189437941
ATSC6m,0.13256801244121647,0.13256801244121647
Xc-5d,-0.1325318427223826,0.1325318427223826
ECFP_1231,-0.13213509221814262,0.13213509221814262
ECFP_432,-0.13201080730328577,0.13201080730328577
ATSC1Z,-0.1319127066927442,0.1319127066927442
SMR_VSA9,-0.131809398254827,0.131809398254827
ATSC1m,-0.13173605279990683,0.13173605279990683
ECFP_323,-0.13168739290677964,0.13168739290677964
fragCpx,-0.13162583116372184,0.13162583116372184
NaasC,-0.13159392674276577,0.13159392674276577
AATS0are,-0.1315671940664172,0.1315671940664172
SdsN,-0.13152462880368687,0.13152462880368687
ECFP_917,0.13143815271507842,0.13143815271507842
RNCG,0.13138404615634347,0.13138404615634347
nFaHRing,-0.13107070357753073,0.13107070357753073
MWC06,-0.13081237478708227,0.13081237478708227
PEOE_VSA4,-0.13064201391846417,0.13064201391846417
ECFP_248,-0.13020546369134228,0.13020546369134228
ECFP_1583,-0.12993406441043043,0.12993406441043043
JGI6,-0.12890011330683163,0.12890011330683163
ATSC3dv,0.1279471916581011,0.1279471916581011
ECFP_1444,0.12793623028773352,0.12793623028773352
ECFP_74,0.12791747500643053,0.12791747500643053
AATSC1dv,-0.12731397891767784,0.12731397891767784
ECFP_18,-0.12715872810785622,0.12715872810785622
ECFP_1744,-0.12711470212534404,0.12711470212534404
ATS2d,-0.12696499224472277,0.12696499224472277
MWC07,-0.12685215756470591,0.12685215756470591
Xp-5d,-0.12679425801245078,0.12679425801245078
NaasN,-0.12674801103130803,0.12674801103130803
AATS0se,-0.12672230174022456,0.12672230174022456
ATSC2are,-0.12648154382388638,0.12648154382388638
Sp,-0.12639092535449767,0.12639092535449767
apol,-0.12639092535449747,0.12639092535449747
ECFP_752,-0.12612815387321566,0.12612815387321566
Xp-2dv,-0.12607149870731546,0.12607149870731546
SRW08,-0.12606901077277508,0.12606901077277508
ECFP_1145,0.12593754091779452,0.12593754091779452
ECFP_1632,-0.1259098085030723,0.1259098085030723
MACCS_113,-0.1258244554341093,0.1258244554341093
nX,0.12510677807869108,0.12510677807869108
ATS0i,-0.1250388617994978,0.1250388617994978
MACCS_165,-0.12474790696838309,0.12474790696838309
ECFP_979,-0.12450409927708797,0.12450409927708797
MACCS_69,-0.1244520009811652,0.1244520009811652
JGI7,-0.1240883670537223,0.1240883670537223
ECFP_1287,-0.12403907694480833,0.12403907694480833
ATS8are,-0.12387460576182412,0.12387460576182412
Si,-0.12332938720803827,0.12332938720803827
AATS0pe,-0.12324691147502335,0.12324691147502335
MWC08,-0.12320239129383893,0.12320239129383893
ECFP_167,-0.12315886840081688,0.12315886840081688
ECFP_177,0.12258864965773246,0.12258864965773246
ATS8pe,-0.12253565775359014,0.12253565775359014
ATSC3se,0.12241663103834541,0.12241663103834541
ECFP_1873,-0.12237276735750847,0.12237276735750847
nAtom,-0.121086808034953,0.121086808034953
ATS7d,-0.12079080541230688,0.12079080541230688
MACCS_82,-0.12070689621266609,0.12070689621266609
ECFP_503,0.12069175285524536,0.12069175285524536
Xp-6d,-0.12067192138971425,0.12067192138971425
n7ARing,0.12050427573809681,0.12050427573809681
ECFP_21,-0.12048778720284867,0.12048778720284867
ATS2v,-0.12047430078039614,0.12047430078039614
MWC09,-0.12035674026659536,0.12035674026659536
Mv,-0.12007448710053852,0.12007448710053852
nBonds,-0.12007288004655886,0.12007288004655886
nFaRing,-0.1200672025319308,0.1200672025319308
NaaaC,-0.11998185235311508,0.11998185235311508
ECFP_591,0.11971687087454254,0.11971687087454254
ATS7v,-0.11966756965104136,0.11966756965104136
ATSC1pe,0.11959104002783366,0.11959104002783366
ECFP_1156,0.11932789967052256,0.11932789967052256
MACCS_19,0.11916911391870491,0.11916911391870491
MACCS_161,-0.11873757186283126,0.11873757186283126
ECFP_364,-0.1185650003633437,0.1185650003633437
ECFP_448,-0.11854578670580652,0.11854578670580652
NsNH2,-0.11844903712721526,0.11844903712721526
ECFP_202,-0.11844512083149969,0.11844512083149969
ECFP_1249,-0.1183850256459595,0.1183850256459595
ECFP_1722,-0.11795432192350493,0.11795432192350493
ECFP_1866,-0.1178955102947185,0.1178955102947185
MACCS_84,-0.11766533351896581,0.11766533351896581
ATS8se,-0.11766133183017827,0.11766133183017827
MWC10,-0.1174581856045403,0.1174581856045403
ECFP_1482,0.11740464496228036,0.11740464496228036
ATS0p,-0.11736523823362804,0.11736523823362804
