scope,cluster_id,algorithmic_medoid,selected_representative,representative_feature
final,77,AATSC5v,AATSC5v,AATSC5v
final,78,MATS6Z,MATS6Z,MATS6Z
final,79,AATSC6are,AATSC6are,AATSC6are
final,80,AATSC6c,AATSC6c,AATSC6c
final,81,AATSC6d,AATSC6d,AATSC6d
final,82,MATS6dv,MATS6dv,MATS6dv
final,83,AATSC6i,AATSC6i,AATSC6i
final,84,AATSC6p,AATSC6p,AATSC6p
final,85,AATSC6s,AATSC6s,AATSC6s
final,86,AATSC6v,AATSC6v,AATSC6v
final,87,MATS7Z,MATS7Z,MATS7Z
final,88,AATSC7are,AATSC7are,AATSC7are
final,89,AATSC7c,AATSC7c,AATSC7c
final,90,AATSC7d,AATSC7d,AATSC7d
final,91,MATS7dv,MATS7dv,MATS7dv
final,92,MATS7i,MATS7i,MATS7i
final,93,MATS7p,MATS7p,MATS7p
final,94,AATSC7s,AATSC7s,AATSC7s
final,95,AATSC7v,AATSC7v,AATSC7v
final,96,MATS8Z,MATS8Z,MATS8Z
final,97,AATSC8are,AATSC8are,AATSC8are
final,98,AATSC8c,AATSC8c,AATSC8c
final,99,AATSC8d,AATSC8d,AATSC8d
final,100,AATSC8dv,AATSC8dv,AATSC8dv
final,101,AATSC8i,AATSC8i,AATSC8i
final,102,AATSC8p,AATSC8p,AATSC8p
final,103,AATSC8s,AATSC8s,AATSC8s
final,104,AATSC8v,AATSC8v,AATSC8v
final,105,HybRatio,HybRatio,HybRatio
final,106,ETA_beta_ns_d,ETA_beta_ns_d,ETA_beta_ns_d
final,107,AETA_beta_s,AETA_beta_s,AETA_beta_s
final,108,AETA_eta,AETA_eta,AETA_eta
final,109,AETA_eta_B,AETA_eta_B,AETA_eta_B
final,110,AETA_eta_F,AETA_eta_F,AETA_eta_F
final,111,AETA_eta_L,AETA_eta_L,AETA_eta_L
final,112,Xpc-4d,Xpc-4d,Xpc-4d
final,113,AMID,AMID,AMID
final,114,ETA_dEpsilon_C,ETA_dEpsilon_C,ETA_dEpsilon_C
final,115,AMID_N,AMID_N,AMID_N
final,116,AMID_O,AMID_O,AMID_O
final,117,MACCS_134,MACCS_134,MACCS_134
final,118,ATS0Z,ATS0Z,ATS0Z
final,119,ATS2se,ATS2se,ATS2se
final,120,VR1_Dzp,VR1_Dzp,VR1_Dzp
final,121,ATS0dv,ATS0dv,ATS0dv
final,122,ATS1p,ATS1p,ATS1p
final,123,ATSC0s,ATSC0s,ATSC0s
final,124,SM1_Dzpe,SM1_Dzpe,SM1_Dzpe
final,125,ATSC0c,ATSC0c,ATSC0c
final,126,ATSC1are,ATSC1are,ATSC1are
final,127,MWC08,MWC08,MWC08
final,128,ATSC1dv,ATSC1dv,ATSC1dv
final,129,ATSC3d,ATSC3d,ATSC3d
final,130,ATSC3v,ATSC3v,ATSC3v
final,131,ATSC8v,ATSC8v,ATSC8v
final,132,AXp-1dv,AXp-1dv,AXp-1dv
final,133,AXp-1d,AXp-1d,AXp-1d
final,134,AXp-2d,AXp-2d,AXp-2d
final,135,AXp-5dv,AXp-5dv,AXp-5dv
final,136,AXp-6d,AXp-6d,AXp-6d
final,137,BCUTm-1h,BCUTm-1h,BCUTm-1h
final,138,BCUTm-1l,BCUTm-1l,BCUTm-1l
final,139,BCUTpe-1h,BCUTpe-1h,BCUTpe-1h
final,140,BCUTare-1l,BCUTare-1l,BCUTare-1l
final,141,BCUTc-1h,BCUTc-1h,BCUTc-1h
final,142,BCUTc-1l,BCUTc-1l,BCUTc-1l
final,143,ETA_shape_x,ETA_shape_x,ETA_shape_x
final,144,BCUTd-1l,BCUTd-1l,BCUTd-1l
final,145,BCUTdv-1l,BCUTdv-1l,BCUTdv-1l
final,146,BCUTi-1h,BCUTi-1h,BCUTi-1h
final,147,BCUTs-1l,BCUTs-1l,BCUTs-1l
final,148,CIC1,CIC1,CIC1
final,149,SIC2,SIC2,SIC2
final,150,SIC3,SIC3,SIC3
final,151,SIC4,SIC4,SIC4
final,152,BalabanJ,BalabanJ,BalabanJ
final,153,ETA_beta,ETA_beta,ETA_beta
final,154,ECFP_674,ECFP_674,ECFP_674
final,155,C1SP2,C1SP2,C1SP2
final,156,C1SP3,C1SP3,C1SP3
final,157,C2SP1,C2SP1,C2SP1
final,158,nBondsM,nBondsM,nBondsM
final,159,SMR_VSA5,SMR_VSA5,SMR_VSA5
final,160,C3SP3,C3SP3,C3SP3
final,161,C4SP3,C4SP3,C4SP3
final,162,FPSA1,FPSA1,FPSA1
final,163,SpAD_Dzv,SpAD_Dzv,SpAD_Dzv
final,164,PNSA3,PNSA3,PNSA3
final,165,SpMAD_D,SpMAD_D,SpMAD_D
final,166,ECFP_0,ECFP_0,ECFP_0
final,167,ECFP_1,ECFP_1,ECFP_1
final,168,ECFP_10,ECFP_10,ECFP_10
final,169,ECFP_100,ECFP_100,ECFP_100
final,170,ECFP_1000,ECFP_1000,ECFP_1000
final,171,ECFP_1003,ECFP_1003,ECFP_1003
final,172,ECFP_1004,ECFP_1004,ECFP_1004
final,173,ECFP_1005,ECFP_1005,ECFP_1005
final,174,ECFP_1006,ECFP_1006,ECFP_1006
final,175,ECFP_1007,ECFP_1007,ECFP_1007
final,176,ECFP_1008,ECFP_1008,ECFP_1008
final,177,ECFP_1009,ECFP_1009,ECFP_1009
final,178,ECFP_101,ECFP_101,ECFP_101
final,179,ECFP_1010,ECFP_1010,ECFP_1010
final,180,ECFP_1011,ECFP_1011,ECFP_1011
final,181,ECFP_1012,ECFP_1012,ECFP_1012
final,182,ECFP_1013,ECFP_1013,ECFP_1013
