scope,cluster_id,cluster_size,medoid_candidate_rank,feature,mean_distance_to_cluster,mean_abs_correlation_to_cluster,min_abs_correlation_to_cluster,max_abs_correlation_to_cluster,missing_fraction,n_nonmissing,variance_after_imputation,algorithmic_medoid,selected_representative,is_algorithmic_medoid,is_selected_representative,members_json
final,1801,1,1,ECFP_694,0.0,1.0,1.0,1.0,0.0,860,0.10453758788534341,ECFP_694,ECFP_694,True,True,"[""ECFP_694""]"
final,1802,4,1,MACCS_126,0.11434033022406387,0.8856596697759361,0.8311365629215016,0.9929854985188651,0.0,860,0.24761492698756085,MACCS_126,MACCS_126,True,True,"[""ECFP_695"", ""MACCS_126"", ""NssO"", ""SssO""]"
final,1802,4,2,SssO,0.11678359729773324,0.8832164027022668,0.8253649516738625,0.9914273085454958,0.0,860,168.9586983739301,MACCS_126,MACCS_126,False,False,"[""ECFP_695"", ""MACCS_126"", ""NssO"", ""SssO""]"
final,1802,4,3,NssO,0.11794974715694517,0.8820502528430548,0.8235868870621669,0.9914273085454958,0.0,860,4.9033788534342895,MACCS_126,MACCS_126,False,False,"[""ECFP_695"", ""MACCS_126"", ""NssO"", ""SssO""]"
final,1802,4,4,ECFP_695,0.11935422091503523,0.8806457790849648,0.8235868870621669,0.9929854985188651,0.0,860,0.24794348296376423,MACCS_126,MACCS_126,False,False,"[""ECFP_695"", ""MACCS_126"", ""NssO"", ""SssO""]"
final,1803,1,1,ECFP_696,0.0,1.0,1.0,1.0,0.0,860,0.014887777176852359,ECFP_696,ECFP_696,True,True,"[""ECFP_696""]"
final,1804,1,1,ECFP_697,0.0,1.0,1.0,1.0,0.0,860,0.033666846944294226,ECFP_697,ECFP_697,True,True,"[""ECFP_697""]"
final,1805,1,1,ECFP_699,0.0,1.0,1.0,1.0,0.0,860,0.07379529475392103,ECFP_699,ECFP_699,True,True,"[""ECFP_699""]"
final,1806,1,1,ECFP_7,0.0,1.0,1.0,1.0,0.0,860,0.020492157923201734,ECFP_7,ECFP_7,True,True,"[""ECFP_7""]"
final,1807,1,1,ECFP_70,0.0,1.0,1.0,1.0,0.0,860,0.017137641968631687,ECFP_70,ECFP_70,True,True,"[""ECFP_70""]"
final,1808,1,1,ECFP_700,0.0,1.0,1.0,1.0,0.0,860,0.009215792320173069,ECFP_700,ECFP_700,True,True,"[""ECFP_700""]"
final,1809,1,1,ECFP_701,0.0,1.0,1.0,1.0,0.0,860,0.005780151433207137,ECFP_701,ECFP_701,True,True,"[""ECFP_701""]"
final,1810,1,1,ECFP_702,0.0,1.0,1.0,1.0,0.0,860,0.00807328285559762,ECFP_702,ECFP_702,True,True,"[""ECFP_702""]"
final,1811,1,1,ECFP_703,0.0,1.0,1.0,1.0,0.0,860,0.022714981070849107,ECFP_703,ECFP_703,True,True,"[""ECFP_703""]"
final,1812,1,1,ECFP_704,0.0,1.0,1.0,1.0,0.0,860,0.008073282855597618,ECFP_704,ECFP_704,True,True,"[""ECFP_704""]"
final,1813,1,1,ECFP_705,0.0,1.0,1.0,1.0,0.0,860,0.0046295294753921044,ECFP_705,ECFP_705,True,True,"[""ECFP_705""]"
final,1814,1,1,ECFP_706,0.0,1.0,1.0,1.0,0.0,860,0.021604921579232023,ECFP_706,ECFP_706,True,True,"[""ECFP_706""]"
final,1815,1,1,ECFP_707,0.0,1.0,1.0,1.0,0.0,860,0.00807328285559762,ECFP_707,ECFP_707,True,True,"[""ECFP_707""]"
final,1816,1,1,ECFP_708,0.0,1.0,1.0,1.0,0.0,860,0.012627095727420228,ECFP_708,ECFP_708,True,True,"[""ECFP_708""]"
