scope,cluster_id,cluster_size,feature,algorithmic_medoid,selected_representative,representative_source,is_algorithmic_medoid,is_selected_representative,medoid_candidate_rank,mean_distance_to_cluster,mean_abs_correlation_to_cluster,min_abs_correlation_to_cluster,max_abs_correlation_to_cluster,missing_fraction,n_nonmissing,variance_after_imputation,members_json
final,2,18,ETA_epsilon_1,Mare,Mare,algorithmic_medoid,False,False,13,0.06031664689472127,0.9396833531052787,0.8631955969661846,0.9969118730643871,0.002325581395348837,858,0.014349795674567376,"[""AATS0are"", ""AATS0pe"", ""AATS0se"", ""AATS1are"", ""AATS1pe"", ""AATS1se"", ""AATS2are"", ""AATS2pe"", ""AATS2se"", ""AATS3are"", ""AATS3pe"", ""AATS3s"", ""AATS3se"", ""ETA_dEpsilon_A"", ""ETA_epsilon_1"", ""Mare"", ""Mpe"", ""Mse""]"
final,2,18,AATS1se,Mare,Mare,algorithmic_medoid,False,False,14,0.06077342461992985,0.9392265753800701,0.8914931241547137,0.9898526087161676,0.004651162790697674,856,0.17669099538959399,"[""AATS0are"", ""AATS0pe"", ""AATS0se"", ""AATS1are"", ""AATS1pe"", ""AATS1se"", ""AATS2are"", ""AATS2pe"", ""AATS2se"", ""AATS3are"", ""AATS3pe"", ""AATS3s"", ""AATS3se"", ""ETA_dEpsilon_A"", ""ETA_epsilon_1"", ""Mare"", ""Mpe"", ""Mse""]"
final,2,18,AATS3are,Mare,Mare,algorithmic_medoid,False,False,15,0.06549570928994608,0.9345042907100539,0.901701024947994,0.9944675966275589,0.00813953488372093,853,0.23998439501053404,"[""AATS0are"", ""AATS0pe"", ""AATS0se"", ""AATS1are"", ""AATS1pe"", ""AATS1se"", ""AATS2are"", ""AATS2pe"", ""AATS2se"", ""AATS3are"", ""AATS3pe"", ""AATS3s"", ""AATS3se"", ""ETA_dEpsilon_A"", ""ETA_epsilon_1"", ""Mare"", ""Mpe"", ""Mse""]"
final,2,18,AATS3pe,Mare,Mare,algorithmic_medoid,False,False,16,0.06817557308592048,0.9318244269140795,0.9119828310563335,0.9944675966275589,0.00813953488372093,853,0.2126988022243762,"[""AATS0are"", ""AATS0pe"", ""AATS0se"", ""AATS1are"", ""AATS1pe"", ""AATS1se"", ""AATS2are"", ""AATS2pe"", ""AATS2se"", ""AATS3are"", ""AATS3pe"", ""AATS3s"", ""AATS3se"", ""ETA_dEpsilon_A"", ""ETA_epsilon_1"", ""Mare"", ""Mpe"", ""Mse""]"
final,2,18,AATS3se,Mare,Mare,algorithmic_medoid,False,False,17,0.06860632022543256,0.9313936797745674,0.8986240954505635,0.9905941912553153,0.00813953488372093,853,0.1965043834050371,"[""AATS0are"", ""AATS0pe"", ""AATS0se"", ""AATS1are"", ""AATS1pe"", ""AATS1se"", ""AATS2are"", ""AATS2pe"", ""AATS2se"", ""AATS3are"", ""AATS3pe"", ""AATS3s"", ""AATS3se"", ""ETA_dEpsilon_A"", ""ETA_epsilon_1"", ""Mare"", ""Mpe"", ""Mse""]"
final,2,18,AATS3s,Mare,Mare,algorithmic_medoid,False,False,18,0.10569400472099888,0.8943059952790011,0.8598521106989873,0.9404053666434359,0.00813953488372093,853,2.596058695157128,"[""AATS0are"", ""AATS0pe"", ""AATS0se"", ""AATS1are"", ""AATS1pe"", ""AATS1se"", ""AATS2are"", ""AATS2pe"", ""AATS2se"", ""AATS3are"", ""AATS3pe"", ""AATS3s"", ""AATS3se"", ""ETA_dEpsilon_A"", ""ETA_epsilon_1"", ""Mare"", ""Mpe"", ""Mse""]"
final,3,3,AATS1d,AATS1d,AATS1d,algorithmic_medoid,True,True,1,0.038325422575195,0.961674577424805,0.9612774711745832,0.9620716836750267,0.004651162790697674,856,0.34189682703060637,"[""AATS0d"", ""AATS1d"", ""AATS2d""]"
final,3,3,AATS2d,AATS1d,AATS1d,algorithmic_medoid,False,False,2,0.053353159878061884,0.9466468401219381,0.9312219965688496,0.9620716836750267,0.005813953488372093,855,0.3034696108545987,"[""AATS0d"", ""AATS1d"", ""AATS2d""]"
final,3,3,AATS0d,AATS1d,AATS1d,algorithmic_medoid,False,False,3,0.0537502661282836,0.9462497338717164,0.9312219965688496,0.9612774711745832,0.0,860,0.2749218664653076,"[""AATS0d"", ""AATS1d"", ""AATS2d""]"
final,4,5,AATS2dv,AATS2dv,AATS2dv,algorithmic_medoid,True,True,1,0.07899564379181567,0.9210043562081843,0.8996552586435782,0.9350257525731652,0.005813953488372093,855,6.43953603468703,"[""AATS0dv"", ""AATS1dv"", ""AATS2dv"", ""AATS3dv"", ""AATS4dv""]"
